,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,244.3333282470703,246.79666137695312,242.14666748046875,245.24000549316406,245.24000549316406,62566200,304.4200134277344,304.5,301.5,301.8800048828125,297.7855529785156,26285300,133.4034423828125,134.7418670654297,132.83938598632812,134.1682586669922,124.61467742919922,4429915,152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,150.50413513183594,86453100
2021-09-01,244.69332885742188,247.3300018310547,243.7566680908203,244.69667053222656,244.69667053222656,39612900,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,297.7362060546875,18983800,133.8240966796875,133.91014099121094,133.06883239746094,133.1739959716797,123.69121551513672,2588327,152.8300018310547,154.97999572753906,152.33999633789062,152.50999450683594,151.17816162109375,80313700
2021-09-02,244.8333282470703,246.99000549316406,243.51333618164062,244.1300048828125,244.1300048828125,38331900,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,297.0654602050781,16285600,133.57553100585938,133.89100646972656,132.91586303710938,133.85276794433594,124.32164764404297,2840413,153.8699951171875,154.72000122070312,152.39999389648438,153.64999389648438,152.30821228027344,71115500
2021-09-03,244.0833282470703,244.6666717529297,241.39999389648438,244.52333068847656,244.52333068847656,45738300,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,297.05560302734375,14747900,133.53729248046875,134.29254150390625,133.1739959716797,133.44168090820312,123.93982696533203,2009575,153.75999450683594,154.6300048828125,153.08999633789062,154.3000030517578,152.9525604248047,57808700
2021-09-07,246.6666717529297,253.39999389648438,246.4199981689453,250.97332763671875,250.97332763671875,60119400,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,296.108642578125,17180400,133.50860595703125,133.64244079589844,131.70172119140625,131.988525390625,122.59014129638672,3436110,154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,155.32168579101562,82278300
2021-09-08,253.86000061035156,254.81666564941406,246.92333984375,251.2899932861328,251.2899932861328,56379000,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,296.13824462890625,15046800,132.06500244140625,132.97323608398438,131.5487518310547,132.5717010498047,123.13179779052734,3122728,156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,153.75546264648438,74420200
2021-09-09,251.1366729736328,254.03334045410156,250.5433349609375,251.6199951171875,251.6199951171875,42233100,300.82000732421875,302.1400146484375,297.0,297.25,293.2183532714844,19927000,131.7877655029297,132.8489532470703,131.51051330566406,131.68260192871094,122.3060073852539,3669682,155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,152.72454833984375,57305700
2021-09-10,253.1999969482422,254.20333862304688,244.83999633789062,245.42333984375,245.42333984375,45552600,298.4200134277344,299.9200134277344,295.3800048828125,295.7099914550781,291.6992492675781,19633400,132.71510314941406,133.2409210205078,130.9751434326172,130.9942626953125,121.66667938232422,4157955,155.0,155.47999572753906,148.6999969482422,148.97000122070312,147.6690673828125,140893200
2021-09-13,246.73666381835938,248.25999450683594,236.28334045410156,247.6666717529297,247.6666717529297,68857500,297.54998779296875,298.5400085449219,294.0799865722656,296.989990234375,292.9619140625,23652900,132.31358337402344,132.87762451171875,131.46270751953125,132.07456970214844,122.67007446289062,4334729,150.6300048828125,151.4199981689453,148.75,149.5500030517578,148.2440185546875,102404300
2021-09-14,247.52333068847656,251.49000549316406,245.46665954589844,248.163330078125,248.163330078125,55574700,299.55999755859375,301.3900146484375,298.1000061035156,299.7900085449219,295.7239074707031,21853400,132.31358337402344,132.47610473632812,129.3881378173828,130.2294464111328,120.95633697509766,4659198,150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,146.82647705078125,109296300
